dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,1168,0.038115520030260086,0.002598371700640971,0.002598361868876964,0.0029083801400702214
cora,1169,0.04102307930588722,0.0021921442904161564,0.0021922521700616926,0.002814725105963589
cora,1170,0.3733760118484497,0.007856719988223515,0.007856742362491786,0.012113445438444614
cora,1171,0.3623858690261841,0.0015892316993089128,0.001589235500432551,0.0023229229263961315
cora,1172,0.18647798895835876,0.012718400388317785,0.012718400190351531,0.0218795933178626
cora,1173,0.04388607293367386,0.008932598081019816,0.008932627908961877,0.017710994085064158
cora,1174,0.33403536677360535,0.0033897402829750622,0.0033897126850206405,0.004501763236476108
cora,1175,0.20130789279937744,0.02470233008551631,0.024702420632820576,0.04684667871333659
cora,1176,0.07315507531166077,0.0009840711665118351,0.000984130849246867,0.0014980940959503641
cora,1177,0.9709073901176453,0.009485816277640668,0.009485840630077291,0.013212143909186125
cora,1178,0.1411086767911911,0.002650888947607677,0.002650870301295072,0.0034529109543655068
cora,1179,0.2434423565864563,0.0043641441835962635,0.004364155174698681,0.006766670412616804
cora,1180,0.09729364514350891,0.020283977655168386,0.0202839162084274,0.0468022502027452
cora,1181,0.04388607293367386,0.0038204444104604704,0.0038203279837034643,0.003906208215994411
cora,1182,0.01942843571305275,0.0030155369882613574,0.0030154787964420393,0.004807428467756836
cora,1183,0.04388607293367386,0.0024950375252209347,0.002494913726422965,0.002399184092610085
cora,1184,0.10191333293914795,0.016279328797436265,0.016279379138723016,0.029995731136295944
cora,1185,0.025943651795387268,0.001956646121554134,0.001956593983777566,0.0018973881037709361
cora,1186,0.029079947620630264,0.0038642679221454895,0.003864264646836091,0.004846927425205649
cora,1187,0.17698045074939728,0.0149410871356902,0.014940993569325656,0.020162479195278138
cora,1188,0.022730788215994835,0.003708998661658875,0.0037088796889293008,0.005496184658113634
cora,1189,0.06551086157560349,0.0017629277725955822,0.0017629476205911487,0.0024540143549529603
cora,1190,0.025943651795387268,0.0045673170868455945,0.004567292460706085,0.007238993237479008
cora,1191,0.03515917807817459,0.002124835492181905,0.0021248512175588985,0.0020094620140298503
cora,1192,0.08785964548587799,0.005914274454557028,0.005914306457270868,0.007669816724956036
cora,1193,0.04949117824435234,0.0015509883189461018,0.001550888962810859,0.001330859516201599
cora,1194,0.1176295354962349,0.020215544493337942,0.02021561621222645,0.04498937336029485
cora,1195,0.03515917807817459,0.0054572287525987175,0.0054572577064391226,0.008928936655138386
cora,1196,0.04388607293367386,0.005477943349673664,0.005477858474478126,0.009263811854907544
cora,1197,0.07565706968307495,0.01116321595355406,0.01116317673586309,0.01678797759814188
cora,1198,0.4026474952697754,0.0010444674107137897,0.0010444358849781565,0.0014913917329977266
cora,1199,0.025943651795387268,0.002770985652757272,0.0027709702517313417,0.0032580717279415694
cora,1200,0.0160186979919672,0.0017022943506608875,0.0017020805389620364,0.0018631128968991106
cora,1201,0.10191333293914795,0.002300109912364831,0.0023002181842457503,0.002121087582054315
cora,1202,0.07315507531166077,0.002300004031855818,0.0023000747278274503,0.003803834733844269
cora,1203,0.3027975857257843,0.008828433029672789,0.00882839912083,0.011886791267897934
cora,1204,0.11097592860460281,0.0015338120990304877,0.0015339140300056897,0.0018690582692215685
cora,1205,0.21749766170978546,0.006414669622258562,0.006414712290279567,0.007468600815627724
cora,1206,0.11320695281028748,0.003248301558911898,0.0032482827227795497,0.006157218995213043
cora,1207,0.19209027290344238,0.01902983102402711,0.019029792572837323,0.028166363714262843
cora,1208,0.22278624773025513,0.02902914102339188,0.029029145720414817,0.04554971703328192
cora,1209,0.7521581649780273,0.03603944512554602,0.03603948617819697,0.04683385416865349
cora,1210,0.08545757830142975,0.0010880922164047263,0.0010880975460167974,0.0014242576962715248
cora,1211,0.1574009209871292,0.026489611197829777,0.026489645591937006,0.04928866995032877
cora,1212,0.12632595002651215,0.001976530982437316,0.001976627725525759,0.0031090622178453486
cora,1213,0.05495308339595795,0.0035762568699138214,0.003576337519916706,0.006211199921381194
